ts,packet_id,scheduled_ms,actual_ms,transmission_ms,queued_ms,jitter_ms,propagation_ms,lost
2025-08-14T12:54:55.630728,ENC_PKT_11,292.35379313319896,292.6032543182373,0.016,37.27157479197763,5.066218341221351,250.0,False
2025-08-14T12:54:55.779693,ENC_PKT_10,332.6463765824167,333.0974578857422,0.016,75.50084866676292,7.12952791565374,250.0,False
2025-08-14T12:54:55.939541,ENC_PKT_12,308.6102950818298,308.81333351135254,0.016,53.44965240767225,5.144642674157552,250.0,False
2025-08-14T12:54:56.079345,ENC_PKT_11,298.5601075826323,299.6523380279541,0.016,44.650524833893144,3.893582748739206,250.0,False
2025-08-14T12:54:56.256884,ENC_PKT_2,316.44104498430545,317.34275817871094,0.0144,62.26871733322846,4.1579276510769825,250.0,False
2025-08-14T12:54:56.377760,DEC_PKT_0,298.2797816668885,298.4154224395752,0.0144,42.70939402015135,5.555987646737115,250.0,False
2025-08-14T12:54:56.377760,ENC_PKT_12,0.0,0.0,0.0,0.0,0.0,0.0,True
2025-08-14T12:54:56.587833,ENC_PKT_13,330.8051934323575,330.9159278869629,0.016,77.15730287665544,3.6318905557020438,250.0,False
2025-08-14T12:54:56.686318,DEC_PKT_1,308.3341026790686,308.55751037597656,0.0144,51.012240112593815,7.307462566474822,250.0,False
2025-08-14T12:54:56.880247,ENC_PKT_14,292.29656062754606,292.41371154785156,0.016,37.84103937296823,4.439521254577827,250.0,False
2025-08-14T12:54:57.014269,DEC_PKT_2,327.60627162883884,327.9099464416504,0.0144,69.86936088302113,7.722510745817692,250.0,False
2025-08-14T12:54:57.169654,ENC_PKT_15,289.13953899929845,289.40725326538086,0.016,30.53551145783161,8.588027541466852,250.0,False
2025-08-14T12:54:57.332455,DEC_PKT_3,317.1889507871148,318.18604469299316,0.0144,64.50692324779618,2.6676275393186226,250.0,False
2025-08-14T12:54:57.481587,ENC_PKT_16,311.82814251661483,311.9330406188965,0.016,58.6338065053323,3.1783360112825463,250.0,False
2025-08-14T12:54:57.668459,ENC_PKT_2,335.7404288595387,336.00401878356934,0.0144,78.26503224991924,7.460996609619487,250.0,False
2025-08-14T12:54:57.771085,ENC_PKT_3,289.285816864822,289.49737548828125,0.0144,35.20669360112082,4.064723263701136,250.0,False
2025-08-14T12:54:57.973540,DEC_PKT_4,303.8697209412746,305.0811290740967,0.0144,46.073669666238395,7.781651275036159,250.0,False
2025-08-14T12:54:58.079287,ENC_PKT_17,307.997731295159,308.20226669311523,0.016,52.87318282337846,5.108548471780516,250.0,False
2025-08-14T12:54:58.262746,DEC_PKT_5,288.97294239031294,289.20602798461914,0.0144,34.33240242580035,4.626139964512564,250.0,False
2025-08-14T12:54:58.262746,DEC_PKT_6,0.0,0.0,0.0,0.0,0.0,0.0,True
2025-08-14T12:54:58.409398,ENC_PKT_18,329.1273078650583,330.1115036010742,0.016,74.19775085991597,4.9135570051423025,250.0,False
